,allcats,soiltype,WTD,rootdepth,LAIIntercept,LAIPx,LAIPETx,LAIP2x,LAIPET2x,aetIntercept,aetPx,aetPETx,aetP2x,aetPET2x,aetgwIntercept,aetgwPx,aetgwPETx,aetgwP2x,aetgwPET2x,gwsubsIntercept,gwsubsPx,gwsubsPETx,gwsubsP2x,gwsubsPET2x
1,clay_0.5_1,clay,1,0.5,-0.303910045,0.000572285,0.012040546,-3.04E-07,-2.97E-05,-51.11457915,0.176076338,2.977841154,-4.89E-05,-0.003672275,2.829936281,-0.023453247,-0.006763121,5.31E-05,1.31E-05,-278.802955,-0.36794119,6.683310201,0.000147689,-0.01593287
2,clayloam_0.5_1,clayloam,1,0.5,-0.308511293,0.000550708,0.014009954,-5.56E-07,-2.38E-05,-54.33051357,0.186801652,3.547149836,-0.00013515,0.000957486,2.78207824,-0.006396586,-0.024964493,1.26E-05,7.08E-05,-282.8157724,-0.354145869,7.174320462,5.25E-05,-0.011046176
3,loam_0.5_1,loam,1,0.5,-0.315808005,0.000574158,0.014374023,-6.48E-07,-2.19E-05,-56.16172554,0.198644996,3.668159289,-0.000176881,0.001881798,2.805037593,-0.015605628,-0.014544716,3.33E-05,3.77E-05,-283.8072625,-0.348280828,7.241541878,2.41E-05,-0.009928191
4,loamysand_0.5_1,loamysand,1,0.5,-0.411415558,0.000646687,0.012164989,-8.02E-07,1.10E-05,-67.7400186,0.12811177,2.821997183,-0.000182889,0.015782545,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,-280.9372932,-0.350687413,6.024455551,3.15E-05,0.00522183
5,sandyclay_0.5_1,sandyclay,1,0.5,-0.325530141,0.000529839,0.010375798,-1.49E-07,-2.77E-05,-53.34541748,0.171553996,2.475198075,-3.71E-05,-0.003987136,2.7946462,-0.010391604,-0.020994216,2.25E-05,5.83E-05,-272.6250526,-0.339376772,5.272566526,0.000224523,-0.010834066
6,sandyclayloam_0.5_1,sandyclayloam,1,0.5,-0.308062149,0.000513262,0.013338296,-4.43E-07,-2.47E-05,-53.61343656,0.157500123,3.377082282,-8.50E-05,0.000347929,2.774296225,-0.002608967,-0.029607921,4.64E-06,8.61E-05,-280.5079424,-0.381531585,6.977787818,0.000123356,-0.011529503
7,sandyloam_0.5_1,sandyloam,1,0.5,-0.365952614,0.000626056,0.013482377,-7.72E-07,-5.64E-06,-62.87013881,0.162953991,3.42454144,-0.000202016,0.008584755,2.767306545,-0.001133562,-0.030518916,7.53E-07,8.79E-05,-284.0594016,-0.36110899,6.87485593,-4.54E-07,-0.002807946
8,silt_0.5_1,silt,1,0.5,-0.407219554,0.000588765,0.013290231,-8.87E-07,8.03E-06,-67.78921689,0.130165034,3.574234634,-0.000235186,0.011244759,2.816354139,-0.018663612,-0.011762764,4.25E-05,2.83E-05,-286.7693815,-0.450008524,7.068581818,-2.08E-05,-0.000420095
9,siltloam_0.5_1,siltloam,1,0.5,-0.338692871,0.000633793,0.015067438,-8.70E-07,-1.75E-05,-59.99420993,0.207236193,4.050683677,-0.000255851,0.002526689,2.871464271,-0.023005539,-0.01583181,7.16E-05,4.44E-05,-287.1456684,-0.371697128,7.562163512,-4.20E-05,-0.009029239
10,siltyclay_0.5_1,siltyclay,1,0.5,-0.300784124,0.000596654,0.012617889,-3.82E-07,-2.95E-05,-50.62166719,0.181814037,3.150540226,-6.05E-05,-0.003106416,2.818577624,-0.021747693,-0.007282733,4.59E-05,1.49E-05,-279.971872,-0.361397528,6.868412656,0.000121358,-0.015433209
